,date,wavelength,cali_method,telescope,cali_start_time,cali_stop_time,start_time_period,end_time_period,lidar_path,molecular_path,LC,LC_std,r0,r1
0,2017-09-01,355,Klett_Method,far_range,2017-09-01 00:00:00,2017-09-01 00:59:30,2017-09-01 00:00:00,2017-09-01 00:29:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326736498949.965,9334701796.051876,6429.4912109375,7834.1259765625
1,2017-09-01,355,Klett_Method,far_range,2017-09-01 00:00:00,2017-09-01 00:59:30,2017-09-01 00:30:00,2017-09-01 00:59:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326736498949.965,9334701796.051876,6429.4912109375,7834.1259765625
2,2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 02:00:00,2017-09-01 02:29:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027188524130.43,9656172768.036968,6429.4912109375,7923.783203125
3,2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 02:30:00,2017-09-01 02:59:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027188524130.43,9656172768.036968,6429.4912109375,7923.783203125
4,2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 03:30:00,2017-09-01 03:59:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164218807150.252,9826610012.914368,4972.556640625,6466.8486328125
5,2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 04:00:00,2017-09-01 04:29:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164218807150.252,9826610012.914368,4972.556640625,6466.8486328125
6,2017-09-01,355,Klett_Method,far_range,2017-09-01 18:00:00,2017-09-01 18:59:30,2017-09-01 18:00:00,2017-09-01 18:29:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380373665227.52,9243553791.0948,7841.59716796875,8910.0166015625
7,2017-09-01,355,Klett_Method,far_range,2017-09-01 18:00:00,2017-09-01 18:59:30,2017-09-01 18:30:00,2017-09-01 18:59:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380373665227.52,9243553791.0948,7841.59716796875,8910.0166015625
8,2017-09-01,355,Klett_Method,far_range,2017-09-01 19:00:00,2017-09-01 20:10:30,2017-09-01 19:00:00,2017-09-01 19:29:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10157532317546.598,8456490616.46948,6324.89111328125,7819.18310546875
9,2017-09-01,355,Klett_Method,far_range,2017-09-01 19:00:00,2017-09-01 20:10:30,2017-09-01 19:30:00,2017-09-01 19:59:30,H:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,H:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10157532317546.598,8456490616.46948,6324.89111328125,7819.18310546875
