,date,wavelength,cali_method,telescope,cali_start_time,cali_stop_time,start_time_period,end_time_period,lidar_path,molecular_path,LC,LC_std,r0,r1,dr
0,9/1/2017,355,Klett_Method,far_range,9/1/2017 0:00,9/1/2017 0:59,9/1/2017 0:00,9/1/2017 0:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326.7365,9.334701796,6.429491211,7.834125977,1.404634766
1,9/1/2017,355,Klett_Method,far_range,9/1/2017 0:00,9/1/2017 0:59,9/1/2017 0:30,9/1/2017 0:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326.7365,9.334701796,6.429491211,7.834125977,1.404634766
2,9/1/2017,355,Klett_Method,far_range,9/1/2017 1:34,9/1/2017 3:08,9/1/2017 2:00,9/1/2017 2:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852,9.656172768,6.429491211,7.923783203,1.494291992
3,9/1/2017,355,Klett_Method,far_range,9/1/2017 1:34,9/1/2017 3:08,9/1/2017 2:30,9/1/2017 2:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852,9.656172768,6.429491211,7.923783203,1.494291992
4,9/1/2017,355,Klett_Method,far_range,9/1/2017 3:09,9/1/2017 4:42,9/1/2017 3:30,9/1/2017 3:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.21881,9.826610013,4.972556641,6.466848633,1.494291992
5,9/1/2017,355,Klett_Method,far_range,9/1/2017 3:09,9/1/2017 4:42,9/1/2017 4:00,9/1/2017 4:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.21881,9.826610013,4.972556641,6.466848633,1.494291992
6,9/1/2017,355,Klett_Method,far_range,9/1/2017 18:00,9/1/2017 18:59,9/1/2017 18:00,9/1/2017 18:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380.37367,9.243553791,7.841597168,8.910016602,1.068419434
7,9/1/2017,355,Klett_Method,far_range,9/1/2017 18:00,9/1/2017 18:59,9/1/2017 18:30,9/1/2017 18:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380.37367,9.243553791,7.841597168,8.910016602,1.068419434
8,9/1/2017,355,Klett_Method,far_range,9/1/2017 19:00,9/1/2017 20:10,9/1/2017 19:00,9/1/2017 19:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10157.53232,8.456490616,6.324891113,7.819183105,1.494291992
9,9/1/2017,355,Klett_Method,far_range,9/1/2017 19:00,9/1/2017 20:10,9/1/2017 19:30,9/1/2017 19:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10157.53232,8.456490616,6.324891113,7.819183105,1.494291992
10,9/1/2017,355,Klett_Method,far_range,9/1/2017 20:13,9/1/2017 21:13,9/1/2017 20:30,9/1/2017 20:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9790.935998,6.052714418,6.41454834,7.908840332,1.494291992
11,9/1/2017,355,Klett_Method,far_range,9/1/2017 21:13,9/1/2017 22:00,9/1/2017 21:30,9/1/2017 21:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9551.294644,11.254872,6.436962891,7.931254883,1.494291992
12,9/1/2017,355,Klett_Method,far_range,9/1/2017 22:10,9/1/2017 23:09,9/1/2017 22:30,9/1/2017 22:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9637.033586,11.53736209,6.466848633,7.961140625,1.494291992
13,9/1/2017,355,Klett_Method,far_range,9/1/2017 23:10,9/1/2017 23:59,9/1/2017 23:30,9/1/2017 23:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9129.959331,14.27234209,8.04332666,9.537619141,1.49429248
14,9/2/2017,355,Klett_Method,far_range,9/2/2017 0:00,9/2/2017 0:59,9/2/2017 0:00,9/2/2017 0:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8868.411294,10.4134851,5.219114746,6.713406738,1.494291992
15,9/2/2017,355,Klett_Method,far_range,9/2/2017 0:00,9/2/2017 0:59,9/2/2017 0:30,9/2/2017 0:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8868.411294,10.4134851,5.219114746,6.713406738,1.494291992
16,9/2/2017,355,Klett_Method,far_range,9/2/2017 1:00,9/2/2017 2:16,9/2/2017 1:00,9/2/2017 1:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,9817.791704,10.14595205,3.762179932,5.256472168,1.494292236
17,9/2/2017,355,Klett_Method,far_range,9/2/2017 1:00,9/2/2017 2:16,9/2/2017 1:30,9/2/2017 1:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,9817.791704,10.14595205,3.762179932,5.256472168,1.494292236
18,9/2/2017,355,Klett_Method,far_range,9/2/2017 2:26,9/2/2017 3:26,9/2/2017 2:30,9/2/2017 2:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8853.316289,6.416558948,5.204171875,6.698463867,1.494291992
19,9/2/2017,355,Klett_Method,far_range,9/2/2017 3:26,9/2/2017 4:26,9/2/2017 3:30,9/2/2017 3:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8343.777901,7.37658103,3.620222168,5.11451416,1.494291992
20,9/2/2017,355,Klett_Method,far_range,9/2/2017 4:26,9/2/2017 5:18,9/2/2017 4:30,9/2/2017 4:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,9193.146884,9.230283469,5.151871582,6.302476563,1.15060498
21,9/2/2017,355,Klett_Method,far_range,9/2/2017 8:08,9/2/2017 9:08,9/2/2017 8:30,9/2/2017 8:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,9460.991336,11.03695714,3.478264404,4.972556641,1.494292236
22,9/2/2017,355,Klett_Method,far_range,9/2/2017 9:08,9/2/2017 10:08,9/2/2017 9:30,9/2/2017 9:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8855.085325,6.998040368,4.882898926,6.265119141,1.382220215
23,9/2/2017,355,Klett_Method,far_range,9/2/2017 10:08,9/2/2017 11:30,9/2/2017 10:30,9/2/2017 10:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8316.831049,7.331392183,4.867956055,6.362248047,1.494291992
24,9/2/2017,355,Klett_Method,far_range,9/2/2017 10:08,9/2/2017 11:30,9/2/2017 11:00,9/2/2017 11:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8316.831049,7.331392183,4.867956055,6.362248047,1.494291992
25,9/2/2017,355,Klett_Method,far_range,9/2/2017 12:47,9/2/2017 14:24,9/2/2017 13:00,9/2/2017 13:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8159.825957,5.398763644,4.023681152,5.517973145,1.494291992
26,9/2/2017,355,Klett_Method,far_range,9/2/2017 12:47,9/2/2017 14:24,9/2/2017 13:30,9/2/2017 13:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,8159.825957,5.398763644,4.023681152,5.517973145,1.494291992
27,9/2/2017,355,Klett_Method,far_range,9/2/2017 15:50,9/2/2017 16:38,9/2/2017 16:00,9/2/2017 16:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,6075.479165,5.798956895,8.52897168,9.716933594,1.187961914
28,9/2/2017,355,Klett_Method,far_range,9/2/2017 16:39,9/2/2017 17:32,9/2/2017 17:00,9/2/2017 17:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,5819.395104,7.026273828,7.213994629,8.200227539,0.98623291
29,9/2/2017,355,Klett_Method,far_range,9/2/2017 18:00,9/2/2017 19:20,9/2/2017 18:00,9/2/2017 18:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,6543.912111,4.455430301,8.334713867,9.829005859,1.494291992
30,9/2/2017,355,Klett_Method,far_range,9/2/2017 18:00,9/2/2017 19:20,9/2/2017 18:30,9/2/2017 18:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,6543.912111,4.455430301,8.334713867,9.829005859,1.494291992
31,9/2/2017,355,Klett_Method,far_range,9/2/2017 19:21,9/2/2017 20:53,9/2/2017 19:30,9/2/2017 19:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,5254.105953,5.511700898,5.331186523,6.825478516,1.494291992
32,9/2/2017,355,Klett_Method,far_range,9/2/2017 19:21,9/2/2017 20:53,9/2/2017 20:00,9/2/2017 20:29,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_02_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_02_Haifa_attbsc_355_molecular.nc,5254.105953,5.511700898,5.331186523,6.825478516,1.494291992
33,9/3/2017,355,Klett_Method,far_range,9/3/2017 0:29,9/3/2017 1:29,9/3/2017 0:30,9/3/2017 0:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_03_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_03_Haifa_attbsc_355_molecular.nc,6191.302539,10.40058368,7.968612305,9.462904297,1.494291992
34,9/3/2017,355,Klett_Method,far_range,9/3/2017 1:29,9/3/2017 2:29,9/3/2017 1:30,9/3/2017 1:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_03_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_03_Haifa_attbsc_355_molecular.nc,5512.332018,6.952087516,6.048446777,7.54273877,1.494291992
35,9/3/2017,355,Klett_Method,far_range,9/3/2017 2:29,9/3/2017 3:29,9/3/2017 2:30,9/3/2017 2:59,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_03_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_03_Haifa_attbsc_355_molecular.nc,6955.1685,6.087977483,5.682345215,7.176637207,1.494291992
