date,wavelength,cali_method,telescope,cali_start_time,cali_stop_time,start_time_period,end_time_period,profile_path,lidar_path,molecular_path,LC,LC_std,r0,r1,dr,bin_r0,bin_r1
2017-09-01,355,Klett_Method,far_range,2017-09-01 00:00:00,2017-09-01 00:59:30,2017-09-01 00:00:00,2017-09-01 00:29:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0000_0059_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326.736498949966,9.334701796051876,6.6594912109375,8.0641259765625,1.404634765625,850,1038
2017-09-01,355,Klett_Method,far_range,2017-09-01 00:00:00,2017-09-01 00:59:30,2017-09-01 00:29:30,2017-09-01 00:59:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0000_0059_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326.736498949966,9.334701796051876,6.6594912109375,8.0641259765625,1.404634765625,850,1038
2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 01:34:30,2017-09-01 02:04:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0134_0308_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852413043,9.656172768036969,6.6594912109375,8.153783203125,1.4942919921875,850,1050
2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 02:04:00,2017-09-01 02:33:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0134_0308_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852413043,9.656172768036969,6.6594912109375,8.153783203125,1.4942919921875,850,1050
2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 02:33:30,2017-09-01 03:03:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0134_0308_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852413043,9.656172768036969,6.6594912109375,8.153783203125,1.4942919921875,850,1050
2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 03:09:30,2017-09-01 03:39:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0309_0442_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.218807150253,9.826610012914369,5.202556640625,6.6968486328125,1.4942919921875,655,855
2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 03:39:00,2017-09-01 04:08:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0309_0442_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.218807150253,9.826610012914369,5.202556640625,6.6968486328125,1.4942919921875,655,855
2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 04:08:30,2017-09-01 04:38:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0309_0442_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.218807150253,9.826610012914369,5.202556640625,6.6968486328125,1.4942919921875,655,855
2017-09-01,355,Klett_Method,far_range,2017-09-01 09:05:00,2017-09-01 09:57:00,2017-09-01 09:05:00,2017-09-01 09:34:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_06_00_01_0905_0957_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9753.764357014554,10.402600703984227,2.931232666015625,4.41805322265625,1.486820556640625,351,550
2017-09-01,355,Klett_Method,far_range,2017-09-01 18:00:00,2017-09-01 18:59:30,2017-09-01 18:00:00,2017-09-01 18:29:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_1800_1859_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380.37366522752,9.2435537910948,8.07159716796875,9.1400166015625,1.06841943359375,1039,1182
2017-09-01,355,Klett_Method,far_range,2017-09-01 18:00:00,2017-09-01 18:59:30,2017-09-01 18:29:30,2017-09-01 18:59:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_1800_1859_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380.37366522752,9.2435537910948,8.07159716796875,9.1400166015625,1.06841943359375,1039,1182
2017-09-01,355,Klett_Method,far_range,2017-09-01 19:00:00,2017-09-01 20:10:30,2017-09-01 19:00:00,2017-09-01 19:29:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_1900_2010_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10157.532317546598,8.45649061646948,6.55489111328125,8.04918310546875,1.4942919921875,836,1036
2017-09-01,355,Klett_Method,far_range,2017-09-01 19:00:00,2017-09-01 20:10:30,2017-09-01 19:29:30,2017-09-01 19:59:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_1900_2010_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10157.532317546598,8.45649061646948,6.55489111328125,8.04918310546875,1.4942919921875,836,1036
2017-09-01,355,Klett_Method,far_range,2017-09-01 20:13:30,2017-09-01 21:13:00,2017-09-01 20:13:30,2017-09-01 20:43:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_2013_2113_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9790.935998107961,6.0527144183846735,6.64454833984375,8.13884033203125,1.4942919921875,848,1048
2017-09-01,355,Klett_Method,far_range,2017-09-01 20:13:30,2017-09-01 21:13:00,2017-09-01 20:43:00,2017-09-01 21:12:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_2013_2113_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9790.935998107961,6.0527144183846735,6.64454833984375,8.13884033203125,1.4942919921875,848,1048
2017-09-01,355,Klett_Method,far_range,2017-09-01 21:13:30,2017-09-01 22:00:00,2017-09-01 21:13:30,2017-09-01 21:43:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_2113_2200_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9551.29464449351,11.254872000344406,6.666962890625,8.1612548828125,1.4942919921875,851,1051
2017-09-01,355,Klett_Method,far_range,2017-09-01 22:10:00,2017-09-01 23:09:30,2017-09-01 22:10:00,2017-09-01 22:39:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_2210_2309_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9637.033585891637,11.537362094605317,6.6968486328125,8.191140625000001,1.4942919921875,855,1055
2017-09-01,355,Klett_Method,far_range,2017-09-01 22:10:00,2017-09-01 23:09:30,2017-09-01 22:39:30,2017-09-01 23:09:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_2210_2309_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9637.033585891637,11.537362094605317,6.6968486328125,8.191140625000001,1.4942919921875,855,1055
